"Group","Units","Indicator","YYYY-MM","value"
"Oahu visitors","days","LOS on Oahu","2020-09","26.8"
"Oahu visitors","days","LOS on Oahu","2020-10","14.5"
"Oahu visitors","days","LOS on Oahu","2020-11","11.3"
"Oahu visitors","days","LOS on Oahu","2020-12","11"
"Oahu visitors","days","LOS on Oahu","2021-01","13.4"
"Oahu visitors","days","LOS on Oahu","2021-02","9.5"
"Oahu visitors","days","LOS on Oahu","2021-03","8.5"
"Oahu visitors","days","LOS on Oahu","2021-04","8.1"
"Oahu visitors","days","LOS on Oahu","2021-05","8.1"
"Oahu visitors","days","LOS on Oahu","2021-06","8.2"
"Oahu visitors","days","LOS on Oahu","2021-07","7.8"
"Oahu visitors","days","LOS on Oahu","2021-08","7.7"
"Oahu visitors","days","LOS on Oahu","2021-09","7.5"
"Oahu visitors","days","LOS on Oahu","2021-10","7.5"
"Oahu visitors","days","LOS on Oahu","2021-11","7.6"
"Oahu visitors","days","LOS on Oahu","2021-12","8.2"
"Oahu visitors","days","LOS on Oahu","2022-01","8.7"
"Oahu visitors","days","LOS on Oahu","2022-02","7.5"
"Oahu visitors","days","LOS on Oahu","2022-03","7.4"
"Oahu visitors","days","LOS on Oahu","2022-04","7.1"
"Oahu visitors","days","LOS on Oahu","2022-05","7.2"
"Oahu visitors","days","LOS on Oahu","2022-06","7.6"
"Oahu visitors","days","LOS on Oahu","2022-07","7.6"
"Oahu visitors","days","LOS on Oahu","2022-08","7.5"
"Oahu visitors","days","LOS on Oahu","2022-09","7.1"
"Oahu visitors","days","LOS on Oahu","2022-10","7.2"
"Oahu visitors","days","LOS on Oahu","2022-11","7.2"
"Oahu visitors","days","LOS on Oahu","2022-12","7.5"
"Oahu visitors","days","LOS on Oahu","2023-01","8"
"Oahu visitors","days","LOS on Oahu","2023-02","7.2"
"Oahu visitors","days","LOS on Oahu","2023-03","7.1"
"Oahu visitors","days","LOS on Oahu","2023-04","7.2"
"Oahu visitors","days","LOS on Oahu","2023-05","7.1"
"Oahu visitors","days","LOS on Oahu","2023-06","7.2"
"Oahu visitors","days","LOS on Oahu","2023-07","7.2"
"Oahu visitors","days","LOS on Oahu","2023-08","7.1"
"Oahu visitors","days","LOS on Oahu","2023-09","6.9"
"Oahu visitors","days","LOS on Oahu","2023-10","6.9"
"Oahu visitors","days","LOS on Oahu","2023-11","7"
"Oahu visitors","days","LOS on Oahu","2023-12","7.6"
"Oahu visitors","days","LOS on Oahu","2024-01","7.8"
"Oahu visitors","days","LOS on Oahu","2024-02","7.1"
"Oahu visitors","days","LOS on Oahu","2024-03","6.9"
"Oahu visitors","days","LOS on Oahu","2024-04","6.7"
"Oahu visitors","days","LOS on Oahu","2024-05","7"
"Oahu visitors","days","LOS on Oahu","2024-06","7.4"
"Oahu visitors","days","LOS on Oahu","2024-07","7.2"
"Oahu visitors","days","LOS on Oahu","2024-08","7"
"Oahu visitors","days","LOS on Oahu","2024-09","6.7"
"Oahu visitors","days","LOS on Oahu","2024-10","6.7"
"Oahu visitors","days","LOS on Oahu","2024-11","6.8"
"Oahu visitors","days","LOS on Oahu","2024-12","7.3"
"Oahu visitors","percent","Accom: B&B (%)","2015-01","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2015-02","1.2"
"Oahu visitors","percent","Accom: B&B (%)","2015-03","1"
"Oahu visitors","percent","Accom: B&B (%)","2015-04","1"
"Oahu visitors","percent","Accom: B&B (%)","2015-05","1"
"Oahu visitors","percent","Accom: B&B (%)","2015-06","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2015-07","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2015-08","1"
"Oahu visitors","percent","Accom: B&B (%)","2015-09","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2015-10","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2015-11","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2015-12","1"
"Oahu visitors","percent","Accom: B&B (%)","2016-01","1.2"
"Oahu visitors","percent","Accom: B&B (%)","2016-02","1.2"
"Oahu visitors","percent","Accom: B&B (%)","2016-03","1"
"Oahu visitors","percent","Accom: B&B (%)","2016-04","1"
"Oahu visitors","percent","Accom: B&B (%)","2016-05","1.1"
"Oahu visitors","percent","Accom: B&B (%)","2016-06","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2016-07","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2016-08","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2016-09","1"
"Oahu visitors","percent","Accom: B&B (%)","2016-10","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2016-11","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2016-12","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2017-01","1.3"
"Oahu visitors","percent","Accom: B&B (%)","2017-02","1.1"
"Oahu visitors","percent","Accom: B&B (%)","2017-03","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2017-04","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2017-05","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2017-06","1"
"Oahu visitors","percent","Accom: B&B (%)","2017-07","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2017-08","1.1"
"Oahu visitors","percent","Accom: B&B (%)","2017-09","1.2"
"Oahu visitors","percent","Accom: B&B (%)","2017-10","1.3"
"Oahu visitors","percent","Accom: B&B (%)","2017-11","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2017-12","1"
"Oahu visitors","percent","Accom: B&B (%)","2018-01","1.2"
"Oahu visitors","percent","Accom: B&B (%)","2018-02","1.2"
"Oahu visitors","percent","Accom: B&B (%)","2018-03","1.3"
"Oahu visitors","percent","Accom: B&B (%)","2018-04","1"
"Oahu visitors","percent","Accom: B&B (%)","2018-05","1.2"
"Oahu visitors","percent","Accom: B&B (%)","2018-06","1.5"
"Oahu visitors","percent","Accom: B&B (%)","2018-07","1"
"Oahu visitors","percent","Accom: B&B (%)","2018-08","1.1"
"Oahu visitors","percent","Accom: B&B (%)","2018-09","1"
"Oahu visitors","percent","Accom: B&B (%)","2018-10","1"
"Oahu visitors","percent","Accom: B&B (%)","2018-11","1"
"Oahu visitors","percent","Accom: B&B (%)","2018-12","1"
"Oahu visitors","percent","Accom: B&B (%)","2019-01","1.3"
"Oahu visitors","percent","Accom: B&B (%)","2019-02","1.4"
"Oahu visitors","percent","Accom: B&B (%)","2019-03","1"
"Oahu visitors","percent","Accom: B&B (%)","2019-04","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2019-05","1.1"
"Oahu visitors","percent","Accom: B&B (%)","2019-06","1"
"Oahu visitors","percent","Accom: B&B (%)","2019-07","1.1"
"Oahu visitors","percent","Accom: B&B (%)","2019-08","1"
"Oahu visitors","percent","Accom: B&B (%)","2019-09","1.4"
"Oahu visitors","percent","Accom: B&B (%)","2019-10","1.1"
"Oahu visitors","percent","Accom: B&B (%)","2019-11","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2019-12","1.1"
"Oahu visitors","percent","Accom: B&B (%)","2020-01","1.2"
"Oahu visitors","percent","Accom: B&B (%)","2020-02","1.1"
"Oahu visitors","percent","Accom: B&B (%)","2020-03","1.2"
"Oahu visitors","percent","Accom: B&B (%)","2020-04","0.6"
"Oahu visitors","percent","Accom: B&B (%)","2020-05","0.4"
"Oahu visitors","percent","Accom: B&B (%)","2020-06","0.3"
"Oahu visitors","percent","Accom: B&B (%)","2020-07","0.4"
"Oahu visitors","percent","Accom: B&B (%)","2020-08","0.2"
"Oahu visitors","percent","Accom: B&B (%)","2020-09","0.3"
"Oahu visitors","percent","Accom: B&B (%)","2020-10","0.7"
"Oahu visitors","percent","Accom: B&B (%)","2020-11","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2020-12","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2021-01","1"
"Oahu visitors","percent","Accom: B&B (%)","2021-02","1"
"Oahu visitors","percent","Accom: B&B (%)","2021-03","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2021-04","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2021-05","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2021-06","0.7"
"Oahu visitors","percent","Accom: B&B (%)","2021-07","0.6"
"Oahu visitors","percent","Accom: B&B (%)","2021-08","0.7"
"Oahu visitors","percent","Accom: B&B (%)","2021-09","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2021-10","1"
"Oahu visitors","percent","Accom: B&B (%)","2021-11","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2021-12","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2022-01","1.1"
"Oahu visitors","percent","Accom: B&B (%)","2022-02","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2022-03","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2022-04","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2022-05","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2022-06","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2022-07","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2022-08","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2022-09","1"
"Oahu visitors","percent","Accom: B&B (%)","2022-10","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2022-11","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2022-12","1"
"Oahu visitors","percent","Accom: B&B (%)","2023-01","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2023-02","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2023-03","0.7"
"Oahu visitors","percent","Accom: B&B (%)","2023-04","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2023-05","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2023-06","0.7"
"Oahu visitors","percent","Accom: B&B (%)","2023-07","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2023-08","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2023-09","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2023-10","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2023-11","1.3"
"Oahu visitors","percent","Accom: B&B (%)","2023-12","0.7"
"Oahu visitors","percent","Accom: B&B (%)","2024-01","0.6"
"Oahu visitors","percent","Accom: B&B (%)","2024-02","0.7"
"Oahu visitors","percent","Accom: B&B (%)","2024-03","0.6"
"Oahu visitors","percent","Accom: B&B (%)","2024-04","0.8"
"Oahu visitors","percent","Accom: B&B (%)","2024-05","0.7"
"Oahu visitors","percent","Accom: B&B (%)","2024-06","0.6"
"Oahu visitors","percent","Accom: B&B (%)","2024-07","0.6"
"Oahu visitors","percent","Accom: B&B (%)","2024-08","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2024-09","0.7"
"Oahu visitors","percent","Accom: B&B (%)","2024-10","0.7"
"Oahu visitors","percent","Accom: B&B (%)","2024-11","0.9"
"Oahu visitors","percent","Accom: B&B (%)","2024-12","0.7"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-01","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-02","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-03","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-04","0.7"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-05","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-06","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-07","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-08","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-09","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-10","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-11","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2015-12","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-01","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-02","0.7"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-03","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-04","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-05","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-06","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-07","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-08","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-09","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-10","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-11","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2016-12","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-01","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-02","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-03","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-04","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-05","0.7"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-06","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-07","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-08","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-09","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-10","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-11","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2017-12","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-01","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-02","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-03","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-04","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-05","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-06","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-07","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-08","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-09","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-10","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-11","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2018-12","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-01","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-02","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-03","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-04","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-05","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-06","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-07","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-08","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-09","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-10","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-11","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2019-12","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-01","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-02","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-03","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-04","0.2"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-05","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-06","0.2"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-07","0.1"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-08","0.2"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-09","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-10","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-11","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2020-12","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-01","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-02","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-03","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-04","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-05","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-06","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-07","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-08","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-09","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-10","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-11","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2021-12","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-01","0.7"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-02","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-03","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-04","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-05","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-06","0.7"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-07","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-08","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-09","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-10","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-11","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2022-12","1"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-01","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-02","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-03","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-04","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-05","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-06","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-07","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-08","0.6"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-09","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-10","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-11","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2023-12","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-01","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-02","0.5"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-03","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-04","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-05","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-06","0.7"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-07","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-08","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-09","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-10","0.4"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-11","0.3"
"Oahu visitors","percent","Accom: Camp site/Beach (%)","2024-12","0.3"
"Oahu visitors","percent","Accom: Condo (%)","2015-01","10.4"
"Oahu visitors","percent","Accom: Condo (%)","2015-02","10.4"
"Oahu visitors","percent","Accom: Condo (%)","2015-03","10.4"
"Oahu visitors","percent","Accom: Condo (%)","2015-04","9.6"
"Oahu visitors","percent","Accom: Condo (%)","2015-05","9.5"
"Oahu visitors","percent","Accom: Condo (%)","2015-06","10.8"
"Oahu visitors","percent","Accom: Condo (%)","2015-07","11.6"
"Oahu visitors","percent","Accom: Condo (%)","2015-08","11.6"
"Oahu visitors","percent","Accom: Condo (%)","2015-09","10.7"
"Oahu visitors","percent","Accom: Condo (%)","2015-10","9.8"
"Oahu visitors","percent","Accom: Condo (%)","2015-11","9.5"
"Oahu visitors","percent","Accom: Condo (%)","2015-12","10.3"
"Oahu visitors","percent","Accom: Condo (%)","2016-01","10.5"
"Oahu visitors","percent","Accom: Condo (%)","2016-02","9.7"
"Oahu visitors","percent","Accom: Condo (%)","2016-03","10.6"
"Oahu visitors","percent","Accom: Condo (%)","2016-04","9.8"
"Oahu visitors","percent","Accom: Condo (%)","2016-05","9.5"
"Oahu visitors","percent","Accom: Condo (%)","2016-06","10.4"
"Oahu visitors","percent","Accom: Condo (%)","2016-07","11.8"
"Oahu visitors","percent","Accom: Condo (%)","2016-08","11.5"
"Oahu visitors","percent","Accom: Condo (%)","2016-09","10.1"
"Oahu visitors","percent","Accom: Condo (%)","2016-10","9.5"
"Oahu visitors","percent","Accom: Condo (%)","2016-11","9.2"
"Oahu visitors","percent","Accom: Condo (%)","2016-12","10"
"Oahu visitors","percent","Accom: Condo (%)","2017-01","11.3"
"Oahu visitors","percent","Accom: Condo (%)","2017-02","10.4"
"Oahu visitors","percent","Accom: Condo (%)","2017-03","10.1"
"Oahu visitors","percent","Accom: Condo (%)","2017-04","10.2"
"Oahu visitors","percent","Accom: Condo (%)","2017-05","10"
"Oahu visitors","percent","Accom: Condo (%)","2017-06","10.3"
"Oahu visitors","percent","Accom: Condo (%)","2017-07","11.6"
"Oahu visitors","percent","Accom: Condo (%)","2017-08","11.9"
"Oahu visitors","percent","Accom: Condo (%)","2017-09","9.7"
"Oahu visitors","percent","Accom: Condo (%)","2017-10","9.3"
"Oahu visitors","percent","Accom: Condo (%)","2017-11","9.5"
"Oahu visitors","percent","Accom: Condo (%)","2017-12","10.4"
"Oahu visitors","percent","Accom: Condo (%)","2018-01","10.6"
"Oahu visitors","percent","Accom: Condo (%)","2018-02","10.9"
"Oahu visitors","percent","Accom: Condo (%)","2018-03","10.3"
"Oahu visitors","percent","Accom: Condo (%)","2018-04","9.5"
"Oahu visitors","percent","Accom: Condo (%)","2018-05","10.1"
"Oahu visitors","percent","Accom: Condo (%)","2018-06","11.1"
"Oahu visitors","percent","Accom: Condo (%)","2018-07","12.1"
"Oahu visitors","percent","Accom: Condo (%)","2018-08","10.7"
"Oahu visitors","percent","Accom: Condo (%)","2018-09","10.8"
"Oahu visitors","percent","Accom: Condo (%)","2018-10","10.6"
"Oahu visitors","percent","Accom: Condo (%)","2018-11","9.4"
"Oahu visitors","percent","Accom: Condo (%)","2018-12","9.9"
"Oahu visitors","percent","Accom: Condo (%)","2019-01","11.2"
"Oahu visitors","percent","Accom: Condo (%)","2019-02","9.8"
"Oahu visitors","percent","Accom: Condo (%)","2019-03","9.4"
"Oahu visitors","percent","Accom: Condo (%)","2019-04","9.4"
"Oahu visitors","percent","Accom: Condo (%)","2019-05","9.8"
"Oahu visitors","percent","Accom: Condo (%)","2019-06","10.6"
"Oahu visitors","percent","Accom: Condo (%)","2019-07","11"
"Oahu visitors","percent","Accom: Condo (%)","2019-08","11.4"
"Oahu visitors","percent","Accom: Condo (%)","2019-09","10.6"
