"Group","Indicator","Units","YYYY-MM","value"
"Oahu visitors","Purpose: Attend school (%)","percent","2020-03","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2020-04","1"
"Oahu visitors","Purpose: Attend school (%)","percent","2020-05","0.4"
"Oahu visitors","Purpose: Attend school (%)","percent","2020-06","0.6"
"Oahu visitors","Purpose: Attend school (%)","percent","2020-07","1.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2020-08","8.1"
"Oahu visitors","Purpose: Attend school (%)","percent","2020-09","2"
"Oahu visitors","Purpose: Attend school (%)","percent","2020-10","0.3"
"Oahu visitors","Purpose: Attend school (%)","percent","2020-11","0.3"
"Oahu visitors","Purpose: Attend school (%)","percent","2020-12","0.3"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-01","1.5"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-02","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-03","0.1"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-04","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-05","0.1"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-06","0.1"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-07","0.1"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-08","1.6"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-09","0.3"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-10","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-11","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2021-12","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-01","0.9"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-02","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-03","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-04","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-05","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-06","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-07","0.3"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-08","1.3"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-09","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-10","0.1"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-11","0.1"
"Oahu visitors","Purpose: Attend school (%)","percent","2022-12","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-01","0.4"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-02","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-03","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-04","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-05","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-06","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-07","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-08","1.3"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-09","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-10","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-11","0.1"
"Oahu visitors","Purpose: Attend school (%)","percent","2023-12","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-01","0.4"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-02","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-03","0.3"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-04","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-05","0.3"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-06","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-07","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-08","1.1"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-09","0.2"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-10","0.1"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-11","0.1"
"Oahu visitors","Purpose: Attend school (%)","percent","2024-12","0.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-01","2.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-02","2.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-03","1.8"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-04","2"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-05","1.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-06","5"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-07","3.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-08","2"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-09","2.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-10","4.7"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-11","3.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2015-12","4.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-01","2.7"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-02","3.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-03","1.6"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-04","2.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-05","2.6"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-06","1.9"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-07","1.6"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-08","1.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-09","5.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-10","2.6"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-11","1.7"
"Oahu visitors","Purpose: Conventions (%)","percent","2016-12","1.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-01","4.9"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-02","2.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-03","2.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-04","2.8"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-05","1.7"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-06","3"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-07","3.7"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-08","0.8"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-09","1.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-10","2.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-11","3"
"Oahu visitors","Purpose: Conventions (%)","percent","2017-12","1"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-01","2.6"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-02","2.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-03","1.9"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-04","4.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-05","3.7"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-06","2.8"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-07","1.9"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-08","0.8"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-09","1.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-10","5.7"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-11","1.8"
"Oahu visitors","Purpose: Conventions (%)","percent","2018-12","0.8"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-01","3.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-02","3.9"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-03","2.6"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-04","1.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-05","3.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-06","1.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-07","1.7"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-08","0.8"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-09","2"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-10","2.8"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-11","3"
"Oahu visitors","Purpose: Conventions (%)","percent","2019-12","0.9"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-01","3.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-02","3"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-03","2.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-04","0.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-05","0.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-06","0.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-07","0"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-08","0.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-09","0.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-10","0.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-11","0.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2020-12","0.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-01","0.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-02","0.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-03","0.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-04","0.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-05","0.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-06","0.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-07","0.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-08","0.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-09","0.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-10","0.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-11","0.6"
"Oahu visitors","Purpose: Conventions (%)","percent","2021-12","0.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-01","2.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-02","0.9"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-03","1.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-04","1.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-05","2.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-06","1.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-07","1"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-08","0.7"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-09","1.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-10","2.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-11","2.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2022-12","1.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-01","3.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-02","1.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-03","2.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-04","2.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-05","1"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-06","1"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-07","2.7"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-08","1.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-09","2.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-10","5.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-11","3.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2023-12","1.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-01","3.8"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-02","1.9"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-03","2.5"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-04","3.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-05","4.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-06","2.4"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-07","1.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-08","2.3"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-09","2.2"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-10","4.1"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-11","1.8"
"Oahu visitors","Purpose: Conventions (%)","percent","2024-12","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-01","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-02","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-03","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-04","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-05","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-06","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-07","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-08","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-09","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-10","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-11","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2015-12","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-01","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-02","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-03","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-04","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-05","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-06","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-07","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-08","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-09","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-10","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-11","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2016-12","0.4"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-01","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-02","1.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-03","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-04","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-05","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-06","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-07","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-08","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-09","1.1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-10","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-11","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2017-12","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-01","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-02","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-03","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-04","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-05","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-06","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-07","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-08","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-09","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-10","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-11","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2018-12","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-01","1.1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-02","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-03","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-04","1.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-05","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-06","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-07","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-08","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-09","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-10","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-11","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2019-12","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-01","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-02","1.2"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-03","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-04","1.1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-05","0.4"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-06","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-07","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-08","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-09","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-10","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-11","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2020-12","0.2"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-01","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-02","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-03","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-04","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-05","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-06","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-07","0.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-08","0.4"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-09","0.4"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-10","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-11","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2021-12","0.4"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-01","1.1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-02","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-03","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-04","1.1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-05","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-06","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-07","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-08","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-09","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-10","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-11","2.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2022-12","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-01","1.2"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-02","1.1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-03","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-04","1.3"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-05","0.9"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-06","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-07","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-08","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-09","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-10","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-11","1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2023-12","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-01","1.1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-02","1.1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-03","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-04","1.1"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-05","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-06","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-07","0.6"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-08","0.5"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-09","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-10","0.8"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-11","0.7"
"Oahu visitors","Purpose: Corporate meetings (%)","percent","2024-12","0.4"
"Oahu visitors","Purpose: Get married (%)","percent","2015-01","1.7"
"Oahu visitors","Purpose: Get married (%)","percent","2015-02","1.5"
"Oahu visitors","Purpose: Get married (%)","percent","2015-03","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2015-04","1.6"
"Oahu visitors","Purpose: Get married (%)","percent","2015-05","1.7"
"Oahu visitors","Purpose: Get married (%)","percent","2015-06","1.5"
"Oahu visitors","Purpose: Get married (%)","percent","2015-07","1.3"
"Oahu visitors","Purpose: Get married (%)","percent","2015-08","1"
"Oahu visitors","Purpose: Get married (%)","percent","2015-09","1.6"
"Oahu visitors","Purpose: Get married (%)","percent","2015-10","1.7"
"Oahu visitors","Purpose: Get married (%)","percent","2015-11","1.6"
"Oahu visitors","Purpose: Get married (%)","percent","2015-12","1.1"
"Oahu visitors","Purpose: Get married (%)","percent","2016-01","1.1"
"Oahu visitors","Purpose: Get married (%)","percent","2016-02","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2016-03","1.4"
"Oahu visitors","Purpose: Get married (%)","percent","2016-04","1.4"
"Oahu visitors","Purpose: Get married (%)","percent","2016-05","1.6"
"Oahu visitors","Purpose: Get married (%)","percent","2016-06","1.4"
"Oahu visitors","Purpose: Get married (%)","percent","2016-07","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2016-08","1"
"Oahu visitors","Purpose: Get married (%)","percent","2016-09","1.3"
"Oahu visitors","Purpose: Get married (%)","percent","2016-10","1.7"
"Oahu visitors","Purpose: Get married (%)","percent","2016-11","1.6"
"Oahu visitors","Purpose: Get married (%)","percent","2016-12","1.1"
"Oahu visitors","Purpose: Get married (%)","percent","2017-01","1"
"Oahu visitors","Purpose: Get married (%)","percent","2017-02","1.3"
"Oahu visitors","Purpose: Get married (%)","percent","2017-03","1"
"Oahu visitors","Purpose: Get married (%)","percent","2017-04","1.3"
"Oahu visitors","Purpose: Get married (%)","percent","2017-05","1.4"
"Oahu visitors","Purpose: Get married (%)","percent","2017-06","1.6"
"Oahu visitors","Purpose: Get married (%)","percent","2017-07","1"
